"run","trt","imaz.rate","gr","rep","plot","mort.21dat","regrowth.28dat","control"
"2012_GH0130",1,0,"Control",1,1,1,1,0
"2012_GH0130",1,0,"Control",2,50,1,1,0
"2012_GH0130",1,0,"Control",3,82,1,1,0
"2012_GH0130",1,0,"Control",4,117,1,0,0
"2012_GH0130",1,0,"Control",5,167,1,0,0
"2012_GH0130",1,0,"Control",6,195,1,1,0
"2012_GH0130",2,4.4,"None",1,2,1,1,0
"2012_GH0130",2,4.4,"None",2,45,1,1,0
"2012_GH0130",2,4.4,"None",3,73,1,0,0
"2012_GH0130",2,4.4,"None",4,126,1,0,0
"2012_GH0130",2,4.4,"None",5,169,1,1,0
"2012_GH0130",2,4.4,"None",6,209,1,1,0
"2012_GH0130",3,8.8,"None",1,3,1,0,0
"2012_GH0130",3,8.8,"None",2,54,1,0,0
"2012_GH0130",3,8.8,"None",3,106,1,0,0
"2012_GH0130",3,8.8,"None",4,120,1,0,0
"2012_GH0130",3,8.8,"None",5,164,1,1,0
"2012_GH0130",3,8.8,"None",6,189,1,1,0
"2012_GH0130",4,17.5,"None",1,4,0,1,1
"2012_GH0130",4,17.5,"None",2,59,1,1,0
"2012_GH0130",4,17.5,"None",3,80,0,0,1
"2012_GH0130",4,17.5,"None",4,130,1,1,0
"2012_GH0130",4,17.5,"None",5,152,1,1,0
"2012_GH0130",4,17.5,"None",6,194,1,1,0
"2012_GH0130",5,35,"None",1,5,1,0,0
"2012_GH0130",5,35,"None",2,62,0,0,1
"2012_GH0130",5,35,"None",3,105,1,1,0
"2012_GH0130",5,35,"None",4,124,0,1,1
"2012_GH0130",5,35,"None",5,146,1,1,0
"2012_GH0130",5,35,"None",6,215,1,0,0
"2012_GH0130",6,70,"None",1,6,1,1,0
"2012_GH0130",6,70,"None",2,69,0,1,1
"2012_GH0130",6,70,"None",3,78,0,1,1
"2012_GH0130",6,70,"None",4,111,1,1,0
"2012_GH0130",6,70,"None",5,149,1,1,0
"2012_GH0130",6,70,"None",6,211,0,0,1
"2012_GH0130",7,4.4,"2,4-D amine",1,7,1,0,0
"2012_GH0130",7,4.4,"2,4-D amine",2,68,1,1,0
"2012_GH0130",7,4.4,"2,4-D amine",3,97,1,1,0
"2012_GH0130",7,4.4,"2,4-D amine",4,119,1,1,0
"2012_GH0130",7,4.4,"2,4-D amine",5,156,1,0,0
"2012_GH0130",7,4.4,"2,4-D amine",6,187,1,0,0
"2012_GH0130",8,8.8,"2,4-D amine",1,8,1,0,0
"2012_GH0130",8,8.8,"2,4-D amine",2,39,1,0,0
"2012_GH0130",8,8.8,"2,4-D amine",3,94,1,0,0
"2012_GH0130",8,8.8,"2,4-D amine",4,109,1,1,0
"2012_GH0130",8,8.8,"2,4-D amine",5,177,1,1,0
"2012_GH0130",8,8.8,"2,4-D amine",6,199,1,0,0
"2012_GH0130",9,17.5,"2,4-D amine",1,9,1,1,0
"2012_GH0130",9,17.5,"2,4-D amine",2,41,1,1,0
"2012_GH0130",9,17.5,"2,4-D amine",3,107,1,1,0
"2012_GH0130",9,17.5,"2,4-D amine",4,129,1,1,0
"2012_GH0130",9,17.5,"2,4-D amine",5,154,1,1,0
"2012_GH0130",9,17.5,"2,4-D amine",6,181,1,1,0
"2012_GH0130",10,35,"2,4-D amine",1,10,0,1,1
"2012_GH0130",10,35,"2,4-D amine",2,47,1,0,0
"2012_GH0130",10,35,"2,4-D amine",3,90,0,1,1
"2012_GH0130",10,35,"2,4-D amine",4,144,0,0,1
"2012_GH0130",10,35,"2,4-D amine",5,165,0,1,1
"2012_GH0130",10,35,"2,4-D amine",6,202,0,1,1
"2012_GH0130",11,70,"2,4-D amine",1,11,1,1,0
"2012_GH0130",11,70,"2,4-D amine",2,63,0,0,1
"2012_GH0130",11,70,"2,4-D amine",3,87,0,1,1
"2012_GH0130",11,70,"2,4-D amine",4,137,1,1,0
"2012_GH0130",11,70,"2,4-D amine",5,171,1,0,0
"2012_GH0130",11,70,"2,4-D amine",6,193,0,1,1
"2012_GH0130",12,4.4,"2,4-D ester",1,12,1,1,0
"2012_GH0130",12,4.4,"2,4-D ester",2,64,1,1,0
"2012_GH0130",12,4.4,"2,4-D ester",3,86,1,0,0
"2012_GH0130",12,4.4,"2,4-D ester",4,138,1,1,0
"2012_GH0130",12,4.4,"2,4-D ester",5,147,1,0,0
"2012_GH0130",12,4.4,"2,4-D ester",6,207,1,0,0
"2012_GH0130",13,8.8,"2,4-D ester",1,13,1,1,0
"2012_GH0130",13,8.8,"2,4-D ester",2,55,1,1,0
"2012_GH0130",13,8.8,"2,4-D ester",3,93,1,0,0
"2012_GH0130",13,8.8,"2,4-D ester",4,121,0,1,1
"2012_GH0130",13,8.8,"2,4-D ester",5,170,1,1,0
"2012_GH0130",13,8.8,"2,4-D ester",6,210,1,0,0
"2012_GH0130",14,17.5,"2,4-D ester",1,14,0,0,1
"2012_GH0130",14,17.5,"2,4-D ester",2,65,0,1,1
"2012_GH0130",14,17.5,"2,4-D ester",3,84,0,1,1
"2012_GH0130",14,17.5,"2,4-D ester",4,114,1,1,0
"2012_GH0130",14,17.5,"2,4-D ester",5,158,0,0,1
"2012_GH0130",14,17.5,"2,4-D ester",6,206,1,0,0
"2012_GH0130",15,35,"2,4-D ester",1,15,0,1,1
"2012_GH0130",15,35,"2,4-D ester",2,42,0,1,1
"2012_GH0130",15,35,"2,4-D ester",3,88,0,0,1
"2012_GH0130",15,35,"2,4-D ester",4,112,0,0,1
"2012_GH0130",15,35,"2,4-D ester",5,159,0,0,1
"2012_GH0130",15,35,"2,4-D ester",6,192,0,1,1
"2012_GH0130",16,70,"2,4-D ester",1,16,1,1,0
"2012_GH0130",16,70,"2,4-D ester",2,37,0,1,1
"2012_GH0130",16,70,"2,4-D ester",3,99,0,1,1
"2012_GH0130",16,70,"2,4-D ester",4,139,0,1,1
"2012_GH0130",16,70,"2,4-D ester",5,148,0,0,1
"2012_GH0130",16,70,"2,4-D ester",6,201,0,1,1
"2012_GH0130",17,4.4,"MCPA amine",1,17,1,1,0
"2012_GH0130",17,4.4,"MCPA amine",2,67,1,1,0
"2012_GH0130",17,4.4,"MCPA amine",3,74,1,0,0
"2012_GH0130",17,4.4,"MCPA amine",4,116,1,0,0
"2012_GH0130",17,4.4,"MCPA amine",5,175,1,0,0
"2012_GH0130",17,4.4,"MCPA amine",6,200,1,1,0
"2012_GH0130",18,8.8,"MCPA amine",1,18,1,0,0
"2012_GH0130",18,8.8,"MCPA amine",2,57,1,1,0
"2012_GH0130",18,8.8,"MCPA amine",3,96,1,0,0
"2012_GH0130",18,8.8,"MCPA amine",4,122,1,1,0
"2012_GH0130",18,8.8,"MCPA amine",5,180,1,1,0
"2012_GH0130",18,8.8,"MCPA amine",6,196,1,1,0
"2012_GH0130",19,17.5,"MCPA amine",1,19,1,1,0
"2012_GH0130",19,17.5,"MCPA amine",2,51,1,1,0
"2012_GH0130",19,17.5,"MCPA amine",3,104,1,1,0
"2012_GH0130",19,17.5,"MCPA amine",4,133,1,0,0
"2012_GH0130",19,17.5,"MCPA amine",5,157,1,0,0
"2012_GH0130",19,17.5,"MCPA amine",6,205,1,0,0
"2012_GH0130",20,35,"MCPA amine",1,20,0,1,1
"2012_GH0130",20,35,"MCPA amine",2,66,1,1,0
"2012_GH0130",20,35,"MCPA amine",3,89,1,1,0
