StartDay;EndDay;Art;Depth;Temp;Treat;Total;Sum
0;1;Hvede;0;10;HD010;80;0
1;2;Hvede;0;10;HD010;80;0
2;3;Hvede;0;10;HD010;80;0
3;4;Hvede;0;10;HD010;80;0
4;5;Hvede;0;10;HD010;80;0
5;6;Hvede;0;10;HD010;80;0
6;7;Hvede;0;10;HD010;80;0
7;8;Hvede;0;10;HD010;80;3
8;9;Hvede;0;10;HD010;80;38
9;10;Hvede;0;10;HD010;80;4
10;11;Hvede;0;10;HD010;80;0
11;12;Hvede;0;10;HD010;80;0
12;13;Hvede;0;10;HD010;80;18
13;14;Hvede;0;10;HD010;80;0
14;15;Hvede;0;10;HD010;80;8
15;16;Hvede;0;10;HD010;80;0
16;17;Hvede;0;10;HD010;80;0
17;18;Hvede;0;10;HD010;80;0
18;19;Hvede;0;10;HD010;80;0
19;20;Hvede;0;10;HD010;80;9
20;21;Hvede;0;10;HD010;80;0
21;22;Hvede;0;10;HD010;80;0
22;23;Hvede;0;10;HD010;80;0
23;24;Hvede;0;10;HD010;80;0
24;25;Hvede;0;10;HD010;80;0
25;26;Hvede;0;10;HD010;80;0
26;27;Hvede;0;10;HD010;80;0
27;28;Hvede;0;10;HD010;80;0
28;29;Hvede;0;10;HD010;80;0
29;Inf;Hvede;0;10;HD010;80;0
0;1;Rødkl.;0;10;RD010;80;0
1;2;Rødkl.;0;10;RD010;80;0
2;3;Rødkl.;0;10;RD010;80;0
3;4;Rødkl.;0;10;RD010;80;0
4;5;Rødkl.;0;10;RD010;80;0
5;6;Rødkl.;0;10;RD010;80;0
6;7;Rødkl.;0;10;RD010;80;0
7;8;Rødkl.;0;10;RD010;80;0
8;9;Rødkl.;0;10;RD010;80;12
9;10;Rødkl.;0;10;RD010;80;1
10;11;Rødkl.;0;10;RD010;80;0
11;12;Rødkl.;0;10;RD010;80;0
12;13;Rødkl.;0;10;RD010;80;24
13;14;Rødkl.;0;10;RD010;80;0
14;15;Rødkl.;0;10;RD010;80;2
15;16;Rødkl.;0;10;RD010;80;0
16;17;Rødkl.;0;10;RD010;80;0
17;18;Rødkl.;0;10;RD010;80;0
18;19;Rødkl.;0;10;RD010;80;0
19;20;Rødkl.;0;10;RD010;80;36
20;21;Rødkl.;0;10;RD010;80;1
21;22;Rødkl.;0;10;RD010;80;0
22;23;Rødkl.;0;10;RD010;80;1
