"Leaf","Intensity","Direction"
0.186230521,0,"Along"
0.126965331,1,"Along"
0.090065817,2,"Along"
0.075396305,3,"Along"
0.04011849,4,"Along"
0.218759288,0,"Along"
0.121886678,1,"Along"
0.089935364,2,"Along"
0.066183873,3,"Along"
0.048127816,4,"Along"
0.172808903,0,"Along"
0.1335989,1,"Along"
0.099194343,2,"Along"
0.073838305,3,"Along"
0.048061713,4,"Along"
0.216069482,0,"Along"
0.13154354,1,"Along"
0.083643201,2,"Along"
0.060499756,3,"Along"
0.041811706,4,"Along"
0.25170702,0,"Across"
0.170204302,1,"Across"
0.122039422,2,"Across"
0.098725706,3,"Across"
0.073399689,4,"Across"
0.208157541,0,"Across"
0.180393318,1,"Across"
0.129591069,2,"Across"
0.090879223,3,"Across"
0.069589763,4,"Across"
0.202331404,0,"Across"
0.122140997,1,"Across"
0.12465799,2,"Across"
0.08643149,3,"Across"
0.072454568,4,"Across"
0.192438919,0,"Across"
0.156137556,1,"Across"
0.117196219,2,"Across"
0.089174934,3,"Across"
0.070808656,4,"Across"
