plot,leaf,weeds,int,direction,yield
1,"0,186230521","103,3376314",0,along,"4,21"
2,"0,126965331","54,02021671",1,along,"4,08"
3,"0,090065817","23,44034686",2,along,"3,92"
4,"0,075396305","5,86206563",3,along,"3,9"
5,"0,04011849","1,103107995",4,along,"3,68"
6,"0,218759288","205,7573912",0,along,"4,2"
7,"0,121886678","55,26511386",1,along,"4,1"
8,"0,089935364","22,7814089",2,along,"3,85"
9,"0,066183873","7,489928971",3,along,"3,84"
10,"0,048127816","1,193467653",4,along,"3,61"
11,"0,172808903","121,0699398",0,along,"4,21"
12,"0,1335989","62,27790355",1,along,"4,04"
13,"0,099194343","9,688349279",2,along,"3,95"
14,"0,073838305","4,935861542",3,along,"3,91"
15,"0,048061713","3,396568576",4,along,"3,66"
16,"0,216069482","207,8915768",0,along,"4,12"
17,"0,13154354","47,89736599",1,along,"4,05"
18,"0,083643201","35,42590001",2,along,"3,99"
19,"0,060499756","2,966129738",3,along,"3,82"
20,"0,041811706","2,118221149",4,along,"3,63"
21,"0,25170702","136,910892",0,across,"4,21"
22,"0,170204302","51,73689203",1,across,"4,08"
23,"0,122039422","15,30722223",2,across,"3,91"
24,"0,098725706","7,448079219",3,across,"3,86"
25,"0,073399689","2,091885769",4,across,"3,75"
26,"0,208157541","128,8395627",0,across,"4,11"
27,"0,180393318","36,18281625",1,across,"4,09"
28,"0,129591069","20,85473489",2,across,"3,97"
29,"0,090879223","3,001517753",3,across,"3,96"
30,"0,069589763","2,21943018",4,across,"3,8"
31,"0,202331404","216,0162108",0,across,"4,18"
32,"0,122140997","55,39144261",1,across,"4,09"
33,"0,12465799","23,17858973",2,across,"3,96"
34,"0,08643149","3,615380263",3,across,"3,87"
35,"0,072454568","2,010470799",4,across,"3,75"
36,"0,192438919","119,22228",0,across,"4,21"
37,"0,156137556","53,37132883",1,across,"4,08"
38,"0,117196219","20,34521515",2,across,"3,93"
39,"0,089174934","3,89481243",3,across,"3,87"
40,"0,070808656","2,513564657",4,across,"3,8"
