Source,starttime,endtime,REP,Daily.germ,Cum.Germ
S1,0,1,1,0,0
S1,0,1,2,0,0
S1,0,1,3,0,0
S1,0,1,4,0,0
S1,1,2,1,0,0
S1,1,2,2,0,0
S1,1,2,3,0,0
S1,1,2,4,0,0
S1,2,3,1,0,0
S1,2,3,2,0,0
S1,2,3,3,0,0
S1,2,3,4,0,0
S1,3,4,1,0,0
S1,3,4,2,0,0
S1,3,4,3,0,0
S1,3,4,4,0,0
S1,4,5,1,0,0
S1,4,5,2,0,0
S1,4,5,3,0,0
S1,4,5,4,0,0
S1,5,6,1,0,0
S1,5,6,2,0,0
S1,5,6,3,0,0
S1,5,6,4,0,0
S1,6,7,1,0,0
S1,6,7,2,0,0
S1,6,7,3,0,0
S1,6,7,4,0,0
S1,7,8,1,0,0
S1,7,8,2,0,0
S1,7,8,3,0,0
S1,7,8,4,0,0
S1,8,9,1,7,7
S1,8,9,2,3,3
S1,8,9,3,0,0
S1,8,9,4,0,0
S1,9,10,1,13,20
S1,9,10,2,20,23
S1,9,10,3,2,2
S1,9,10,4,0,0
S1,10,11,1,8,28
S1,10,11,2,8,31
S1,10,11,3,7,9
S1,10,11,4,4,4
S1,11,12,1,4,32
S1,11,12,2,6,37
S1,11,12,3,8,17
S1,11,12,4,14,18
S1,12,13,1,1,33
S1,12,13,2,0,37
S1,12,13,3,0,17
S1,12,13,4,0,18
S1,13,14,1,2,35
S1,13,14,2,0,37
S1,13,14,3,7,24
S1,13,14,4,7,25
S1,14,15,1,2,37
S1,14,15,2,0,37
S1,14,15,3,3,27
S1,14,15,4,7,32
S1,15,16,1,0,37
S1,15,16,2,1,38
S1,15,16,3,0,27
S1,15,16,4,1,33
S1,16,17,1,0,37
S1,16,17,2,1,39
S1,16,17,3,1,28
S1,16,17,4,2,35
S1,17,18,1,0,37
S1,17,18,2,0,39
S1,17,18,3,1,29
S1,17,18,4,0,35
S1,18,19,1,0,37
S1,18,19,2,0,39
S1,18,19,3,1,30
S1,18,19,4,2,37
S1,19,20,1,0,37
S1,19,20,2,0,39
S1,19,20,3,0,30
S1,19,20,4,1,38
S1,20,Inf,1,13,NA
S1,20,Inf,2,11,NA
S1,20,Inf,3,18,NA
S1,20,Inf,4,14,NA
S2,0,1,1,0,0
S2,0,1,2,0,0
S2,0,1,3,0,0
S2,0,1,4,0,0
S2,1,2,1,0,0
S2,1,2,2,0,0
S2,1,2,3,0,0
S2,1,2,4,0,0
S2,2,3,1,0,0
S2,2,3,2,0,0
S2,2,3,3,0,0
S2,2,3,4,0,0
S2,3,4,1,0,0
S2,3,4,2,0,0
S2,3,4,3,0,0
S2,3,4,4,0,0
S2,4,5,1,0,0
S2,4,5,2,0,0
S2,4,5,3,0,0
S2,4,5,4,0,0
S2,5,6,1,0,0
S2,5,6,2,0,0
S2,5,6,3,0,0
S2,5,6,4,0,0
S2,6,7,1,0,0
S2,6,7,2,0,0
