block,biotype,glyph.rate,survival
A,S,426,0
A,T,1680,0
A,T,0,1
A,T,0,1
A,T,213,1
A,T,213,1
A,T,426,1
A,T,426,1
A,T,840,0
A,T,840,1
A,T,1680,1
A,S,213,0
A,S,0,1
A,S,840,0
A,S,1680,0
A,S,426,0
A,S,213,0
A,S,1680,0
A,S,840,0
A,S,0,1
B,T,0,1
B,T,101,1
B,T,213,1
B,T,426,1
B,T,840,1
B,T,1680,0
B,T,213,1
B,T,1680,0
B,T,101,1
B,T,840,0
B,T,0,1
B,T,426,0
B,T,840,0
B,T,101,1
B,T,0,1
B,T,213,1
B,T,426,0
B,T,1680,0
B,S,0,1
B,S,101,1
B,S,213,1
B,S,426,0
B,S,840,0
B,S,1680,0
B,S,213,0
B,S,1680,0
B,S,101,1
B,S,840,0
B,S,0,0
B,S,426,0
B,S,840,0
B,S,101,1
B,S,0,1
B,S,213,1
B,S,426,0
B,S,1680,NA
C,S,426,0
C,S,426,1
C,S,627,0
C,S,101,1
C,S,840,0
C,S,0,1
C,S,0,1
C,S,0,1
C,S,840,0
C,S,1400,0
C,S,213,0
C,S,1400,0
C,S,627,0
C,S,627,0
C,S,213,1
C,S,101,1
C,S,213,1
C,S,426,0
C,S,426,0
C,S,1400,0
C,S,840,0
C,S,101,1
C,S,840,0
C,S,1400,0
C,S,101,1
C,S,0,1
C,S,213,0
C,S,627,0
C,T,1400,0
C,T,0,1
C,T,101,1
C,T,213,1
C,T,426,1
C,T,627,1
C,T,840,0
C,T,1400,1
C,T,0,1
C,T,101,1
C,T,213,1
C,T,426,1
C,T,840,0
C,T,1400,0
C,T,627,1
C,T,0,1
C,T,0,1
C,T,101,1
C,T,213,1
C,T,101,1
C,T,213,1
C,T,426,0
C,T,426,1
C,T,627,1
C,T,840,0
C,T,1400,0
C,T,627,1
C,T,840,0
