study,year,trt.no,herb,rate,product.rate,rate.descrip,overdrive,overdrive.yn,plot,blk,percon.24
1,2005,1,Tordon,0.56,1qt,com,0,n,108,1,97
1,2005,1,Tordon,0.56,1qt,com,0,n,201,2,95
1,2005,1,Tordon,0.56,1qt,com,0,n,308,3,98
1,2005,1,Tordon,0.56,1qt,com,0,n,404,4,99
1,2005,2,Tordon,0.28,1pt,red,0,n,114,1,83
1,2005,2,Tordon,0.28,1pt,red,0,n,215,2,92
1,2005,2,Tordon,0.28,1pt,red,0,n,318,3,98
1,2005,2,Tordon,0.28,1pt,red,0,n,419,4,90
1,2005,3,Curtail,2,3qt,com,0,n,119,1,90
1,2005,3,Curtail,2,3qt,com,0,n,206,2,86
1,2005,3,Curtail,2,3qt,com,0,n,309,3,40
1,2005,3,Curtail,2,3qt,com,0,n,410,4,0
1,2005,4,Curtail,1,1.5qt,red,0,n,103,1,0
1,2005,4,Curtail,1,1.5qt,red,0,n,211,2,10
1,2005,4,Curtail,1,1.5qt,red,0,n,301,3,35
1,2005,4,Curtail,1,1.5qt,red,0,n,418,4,70
1,2005,5,Transline,0.56,1.33pt,com,0,n,113,1,85
1,2005,5,Transline,0.56,1.33pt,com,0,n,212,2,96
1,2005,5,Transline,0.56,1.33pt,com,0,n,317,3,98
1,2005,5,Transline,0.56,1.33pt,com,0,n,417,4,95
1,2005,6,Transline,0.28,0.66pt,red,0,n,107,1,50
1,2005,6,Transline,0.28,0.66pt,red,0,n,202,2,72
1,2005,6,Transline,0.28,0.66pt,red,0,n,310,3,35
1,2005,6,Transline,0.28,0.66pt,red,0,n,403,4,83
1,2005,7,Milestone,0.12,7oz,com,0,n,101,1,92
1,2005,7,Milestone,0.12,7oz,com,0,n,204,2,94
1,2005,7,Milestone,0.12,7oz,com,0,n,304,3,75
1,2005,7,Milestone,0.12,7oz,com,0,n,411,4,92
1,2005,8,Milestone,0.05,3oz,red,0,n,112,1,50
1,2005,8,Milestone,0.05,3oz,red,0,n,207,2,60
1,2005,8,Milestone,0.05,3oz,red,0,n,316,3,95
