run,cultivar,rate,injury.10dat,injury.20dat,drywt,rel.drywt
1,Dawn,0,0,0,0.03,20.51
1,Dawn,0,0,0,0.29,220
1,Dawn,0,5,0,0.18,141.03
1,Dawn,0,NA,NA,NA,NA
1,Dawn,0,0,0,0.02,11.54
1,Dawn,25,NA,0,0.09,69.23
1,Dawn,25,0,5,0.07,53.85
1,Dawn,25,0,5,0.07,52.31
1,Dawn,25,5,5,0.13,101.54
1,Dawn,25,NA,NA,NA,NA
1,Dawn,50,20,10,0.11,82.05
1,Dawn,50,5,10,0.22,166.15
1,Dawn,50,80,15,0.12,90.38
1,Dawn,50,80,15,0.09,69.23
1,Dawn,50,80,20,0.08,61.54
1,Dawn,100,70,30,0.14,103.85
1,Dawn,100,40,10,0.26,202.56
1,Dawn,100,40,30,0.03,23.08
1,Dawn,100,70,20,0.02,15.38
1,Dawn,100,80,10,0.12,88.46
1,Dawn,200,10,70,0.03,23.08
1,Dawn,200,70,20,0.07,51.92
1,Dawn,200,100,100,0,3.08
1,Dawn,200,100,100,0,0
1,Dawn,200,90,40,0.04,30.77
1,Dawn,400,100,100,0.01,4.62
1,Dawn,400,100,100,0,0
1,Dawn,400,95,100,0,0
1,Dawn,400,100,100,0.01,5.13
1,Dawn,400,100,100,0.01,10.26
1,EarlyBird,0,0,0,0.17,115.56
1,EarlyBird,0,0,0,0.08,55.24
1,EarlyBird,0,5,5,0.15,101.67
1,EarlyBird,0,0,0,0.18,117.78
1,EarlyBird,0,NA,NA,NA,NA
1,EarlyBird,25,0,5,0.08,51.67
1,EarlyBird,25,0,0,0.23,155.56
1,EarlyBird,25,10,10,0.26,171.11
1,EarlyBird,25,0,5,0.26,173.33
1,EarlyBird,25,5,5,0.36,237.78
1,EarlyBird,50,5,5,0.08,51.11
1,EarlyBird,50,10,15,0.2,133.33
1,EarlyBird,50,90,100,0,0
1,EarlyBird,50,80,20,0.13,86.67
1,EarlyBird,50,50,10,0.28,183.33
1,EarlyBird,100,70,30,0.01,8.89
1,EarlyBird,100,10,15,0.1,65
1,EarlyBird,100,85,30,0.12,80
1,EarlyBird,100,60,15,0.2,135.56
1,EarlyBird,100,85,20,0.19,126.67
1,EarlyBird,200,90,10,0.02,15.56
1,EarlyBird,200,0,10,0.08,53.33
1,EarlyBird,200,90,100,0,0
1,EarlyBird,200,95,100,0.01,6.67
1,EarlyBird,200,90,100,0.01,6.67
1,EarlyBird,400,NA,100,0,2.67
1,EarlyBird,400,90,100,0,0
1,EarlyBird,400,100,100,0.08,54.67
1,EarlyBird,400,100,100,0,0
1,EarlyBird,400,95,100,0,0
1,Horizon,0,0,0,0.23,108.57
1,Horizon,0,0,0,0.21,98.41
1,Horizon,0,0,0,0.12,55.24
1,Horizon,0,0,0,0.34,163.49
1,Horizon,0,0,0,0.16,74.6
1,Horizon,25,0,5,0.23,111.43
1,Horizon,25,5,0,0.18,85.71
1,Horizon,25,0,5,0.14,64.76
1,Horizon,25,5,5,0.12,58.33
1,Horizon,25,5,0,0.07,31.75
1,Horizon,50,10,10,0.22,103.17
1,Horizon,50,0,5,0.34,160.71
1,Horizon,50,85,10,0.12,57.14
1,Horizon,50,40,10,0.08,40
1,Horizon,50,10,5,0.11,50
1,Horizon,100,30,15,0.16,75.24
1,Horizon,100,10,10,0.15,71.43
1,Horizon,100,100,100,0.01,4.76
1,Horizon,100,85,30,0.13,61.9
1,Horizon,100,20,10,0.22,104.76
1,Horizon,200,80,90,0.04,19.05
1,Horizon,200,0,100,0,0
1,Horizon,200,100,100,0,1.59
1,Horizon,200,90,100,0,0
1,Horizon,200,90,60,0.04,19.05
1,Horizon,400,100,100,0.01,3.17
1,Horizon,400,70,10,0.23,109.52
1,Horizon,400,100,100,0,0.95
1,Horizon,400,0,100,0,0
1,Horizon,400,100,100,0,0
1,Huntsman,0,0,0,0.13,65
1,Huntsman,0,0,0,0.28,138.33
1,Huntsman,0,0,0,0.08,41
1,Huntsman,0,0,0,0.33,163.33
