age no3n pH Na K
0 0.13 4.91 4.36 0.14
0 0.15 5.00 3.91 0.21
0 0.05 5.37 3.98 0.16
0 0.11 5.27 4.24 0.16
0 0.10 6.95 3.84 0.22
10 0.05 4.44 4.32 0.15
14 0.10 4.67 4.65 0.09
14 0.02 5.34 4.89 0.08
15 0.14 5.96 4.36 0.21
16 0.07 4.31 5.10 0.93
19 0.07 4.58 4.91 0.11
24 0.12 5.09 6.19 0.09
27 0.12 5.57 8.05 0.31
28 0.33 5.19 4.15 0.12
29 0.14 4.83 6.10 0.19
31 0.20 5.37 5.32 0.17
32 0.16 4.93 5.39 0.14
37 0.64 4.74 6.67 0.19
40 0.33 5.13 5.42 0.24
44 1.11 4.61 10.42 0.20
51 0.26 4.40 7.95 0.21
53 0.36 4.75 5.99 0.22
53 0.39 5.24 5.92 0.23
53 0.59 5.38 7.20 0.24
55 0.94 4.63 8.77 0.23

