run,trt,reps,imazamox,N.source,N.rate,Nitrogen,dry.wt,pct.red
1,1,1,0.5,LAP,2.5,LAP2.5,0.14,0
1,1,2,0.5,LAP,2.5,LAP2.5,0.09,0
1,1,3,0.5,LAP,2.5,LAP2.5,0.08,8
1,1,4,0.5,LAP,2.5,LAP2.5,0.04,50
1,1,5,0.5,LAP,2.5,LAP2.5,0.06,30
1,2,1,0.5,LAP,25,LAP25,0.11,0
1,2,2,0.5,LAP,25,LAP25,0.07,12
1,2,3,0.5,LAP,25,LAP25,0.08,7
1,2,4,0.5,LAP,25,LAP25,0.1,0
1,2,5,0.5,LAP,25,LAP25,0.1,0
1,3,1,0.5,LAP,50,LAP50,0.18,0
1,3,2,0.5,LAP,50,LAP50,0.09,0
1,3,3,0.5,LAP,50,LAP50,0.1,0
1,3,4,0.5,LAP,50,LAP50,0.13,0
1,3,5,0.5,LAP,50,LAP50,0.1,0
1,4,1,0.5,UAN,2.5,UAN2.5,0.13,0
1,4,2,0.5,UAN,2.5,UAN2.5,0.07,9
1,4,3,0.5,UAN,2.5,UAN2.5,0.13,0
1,4,4,0.5,UAN,2.5,UAN2.5,0.07,10
1,4,5,0.5,UAN,2.5,UAN2.5,0.02,72
1,5,1,0.5,UAN,25,UAN25,0.15,0
1,5,2,0.5,UAN,25,UAN25,0.13,0
1,5,3,0.5,UAN,25,UAN25,0.13,0
1,5,4,0.5,UAN,25,UAN25,0.13,0
1,5,5,0.5,UAN,25,UAN25,0.03,60
1,6,1,0.5,UAN,50,UAN50,0.19,0
1,6,2,0.5,UAN,50,UAN50,0.24,0
1,6,3,0.5,UAN,50,UAN50,0.2,0
1,6,4,0.5,UAN,50,UAN50,0.05,41
1,6,5,0.5,UAN,50,UAN50,0.09,0
1,7,1,1,LAP,2.5,LAP2.5,0.13,0
1,7,2,1,LAP,2.5,LAP2.5,0.04,55
1,7,3,1,LAP,2.5,LAP2.5,0.05,43
1,7,4,1,LAP,2.5,LAP2.5,0.07,20
1,7,5,1,LAP,2.5,LAP2.5,0.05,45
1,8,1,1,LAP,25,LAP25,0.17,0
1,8,2,1,LAP,25,LAP25,0.11,0
1,8,3,1,LAP,25,LAP25,0.08,0
1,8,4,1,LAP,25,LAP25,0.04,56
1,8,5,1,LAP,25,LAP25,0.05,41
1,9,1,1,LAP,50,LAP50,0.13,0
1,9,2,1,LAP,50,LAP50,0.21,0
1,9,3,1,LAP,50,LAP50,0.09,0
1,9,4,1,LAP,50,LAP50,0.08,0
1,9,5,1,LAP,50,LAP50,0.11,0
1,10,1,1,UAN,2.5,UAN2.5,0.09,0
1,10,2,1,UAN,2.5,UAN2.5,0.05,37
1,10,3,1,UAN,2.5,UAN2.5,0.12,0
1,10,4,1,UAN,2.5,UAN2.5,0.05,36
1,10,5,1,UAN,2.5,UAN2.5,0.03,63
1,11,1,1,UAN,25,UAN25,0.12,0
1,11,2,1,UAN,25,UAN25,0.05,44
1,11,3,1,UAN,25,UAN25,0.03,69
1,11,4,1,UAN,25,UAN25,0.06,23
1,11,5,1,UAN,25,UAN25,0.05,35
1,12,1,1,UAN,50,UAN50,0.15,0
1,12,2,1,UAN,50,UAN50,0.04,49
1,12,3,1,UAN,50,UAN50,0.16,0
1,12,4,1,UAN,50,UAN50,0.11,0
1,12,5,1,UAN,50,UAN50,0.06,24
1,13,1,2,LAP,2.5,LAP2.5,0.12,0
1,13,2,2,LAP,2.5,LAP2.5,0.03,58
1,13,3,2,LAP,2.5,LAP2.5,0.05,33
1,13,4,2,LAP,2.5,LAP2.5,0.06,27
1,13,5,2,LAP,2.5,LAP2.5,0.03,63
1,14,1,2,LAP,25,LAP25,0.12,0
1,14,2,2,LAP,25,LAP25,0.04,49
1,14,3,2,LAP,25,LAP25,0.04,52
1,14,4,2,LAP,25,LAP25,0.08,0
1,14,5,2,LAP,25,LAP25,0.02,79
1,15,1,2,LAP,50,LAP50,0.05,35
1,15,2,2,LAP,50,LAP50,0.1,0
1,15,3,2,LAP,50,LAP50,0.07,14
1,15,4,2,LAP,50,LAP50,0.04,47
1,15,5,2,LAP,50,LAP50,0.06,28
1,16,1,2,UAN,2.5,UAN2.5,0.05,36
1,16,2,2,UAN,2.5,UAN2.5,0.06,26
