conc,effect,experiment
0.025,908,10509
0.05,997,10509
0.1,744,10509
0.2,567,10509
0.39,314,10509
0.78,325,10509
1.56,146,10509
3.13,113,10509
0.025,930,10821
0.05,489,10821
0.1,589,10821
0.2,400,10821
0.39,312,10821
0.78,228,10821
1.56,175,10821
3.13,152,10821
0.025,1953,10828
0.05,1994,10828
0.1,1374,10828
0.2,1429,10828
0.39,1063,10828
0.78,778,10828
1.56,668,10828
3.13,694,10828
0.025,1522,10904
0.05,1114,10904
0.1,950,10904
0.2,1063,10904
0.39,683,10904
0.78,538,10904
1.56,561,10904
3.13,479,10904
0.025,996,11023
0.05,1045,11023
0.1,736,11023
0.2,636,11023
0.39,498,11023
0.78,318,11023
1.56,298,11023
3.13,334,11023
0.05,1067,11106
0.1,1042,11106
0.2,706,11106
0.39,607,11106
0.78,588,11106
1.56,364,11106
3.13,440,11106
