yr,reps,dens,y.pct,y.kg
2009,1,0,3.2839963,6273
2009,2,0,9.4665433,5872
2009,3,0,4.6253469,6186
2009,4,0,-17.3913043,7614
2009,1,0.2,20.4748689,5158
2009,2,0.2,1.1409189,6412
2009,3,0.2,10.0061671,5837
2009,4,0.2,-24.915202,8102
2009,1,0.6,37.9432624,4025
2009,2,0.6,16.4508171,5419
2009,3,0.6,18.8714154,5262
2009,4,0.6,10.2682701,5820
2009,1,1.2,24.7764416,4879
2009,2,1.2,9.2044403,5889
2009,3,1.2,5.7045945,6116
2009,4,1.2,14.3077397,5558
2009,1,2.4,44.9275362,3572
2009,2,2.4,42.506938,3729
2009,3,2.4,27.9987666,4670
2009,4,2.4,19.1335183,5245
2008,1,0,14.9964209,2375
2008,2,0,-0.5726557,2810
2008,3,0,NA,NA
2008,4,0,-9.8425197,3069
2008,1,0.2,16.3206872,2338
2008,2,0.2,8.4824624,2557
2008,3,0.2,3.5790981,2694
2008,4,0.2,34.7172513,1824
2008,1,0.6,NA,NA
2008,2,0.6,3.1138153,2707
2008,3,0.6,6.6571224,2608
2008,4,0.6,14.1732283,2398
2008,1,1.2,21.4387974,2195
2008,2,1.2,8.4108805,2559
2008,3,1.2,21.7251253,2187
2008,4,1.2,25.3400143,2086
2008,1,2.4,32.9277022,1874
2008,2,2.4,21.5819613,2191
2008,3,2.4,NA,NA
2008,4,2.4,7.5518969,2583
